store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,store_type,assortment,competition_distance,competition_open_since_month,competition_open_since_year,promo2,promo2since_week,promo2since_year,promo_interval,has_competition,year,month,day,week_of_year,is_weekend,sales_per_customer,competition_open_months,is_outlier
40,5,2014-08-01,5476,708,1,1,none,1,a,a,180,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2014,8,1,31,0,7.73,-1,FALSE
42,5,2014-08-01,11181,1235,1,1,none,1,a,c,290,0,0,1,40,2011,"Jan,Apr,Jul,Oct",0,2014,8,1,31,0,9.05,-1,FALSE
43,5,2014-08-01,7540,684,1,1,none,1,d,a,4880,0,0,1,37,2009,"Jan,Apr,Jul,Oct",0,2014,8,1,31,0,11.02,-1,FALSE
44,5,2014-08-01,7967,828,1,1,none,1,a,a,540,6,2011,0,0,0,None,1,2014,8,1,31,0,9.62,38,FALSE
45,5,2014-08-01,6301,450,1,1,none,1,d,a,9710,2,2014,0,0,0,None,1,2014,8,1,31,0,14,6,FALSE
47,5,2014-08-01,7948,953,1,1,none,1,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",1,2014,8,1,31,0,8.34,16,FALSE
48,5,2014-08-01,3955,402,1,1,none,1,a,a,1060,5,2012,0,0,0,None,1,2014,8,1,31,0,9.84,27,FALSE
49,5,2014-08-01,9048,631,1,1,none,1,d,c,18010,9,2007,0,0,0,None,1,2014,8,1,31,0,14.34,83,FALSE
50,5,2014-08-01,5137,399,1,1,none,1,d,a,6260,11,2009,0,0,0,None,1,2014,8,1,31,0,12.87,57,FALSE
1,6,2014-08-02,4731,555,1,0,none,1,c,a,1270,9,2008,0,0,0,None,1,2014,8,2,31,1,8.52,71,FALSE
2,6,2014-08-02,3354,451,1,0,none,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,7.44,81,FALSE
3,6,2014-08-02,4157,466,1,0,none,0,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,8.92,92,FALSE
4,6,2014-08-02,10071,1337,1,0,none,0,c,c,620,9,2009,0,0,0,None,1,2014,8,2,31,1,7.53,59,FALSE
5,6,2014-08-02,1593,220,1,0,none,0,a,a,29910,4,2015,0,0,0,None,1,2014,8,2,31,1,7.24,0,FALSE
6,6,2014-08-02,3201,365,1,0,none,0,a,a,310,12,2013,0,0,0,None,1,2014,8,2,31,1,8.77,8,FALSE
7,6,2014-08-02,7956,873,1,0,none,0,a,c,24000,4,2013,0,0,0,None,1,2014,8,2,31,1,9.11,16,FALSE
8,6,2014-08-02,3100,380,1,0,none,0,a,a,7520,10,2014,0,0,0,None,1,2014,8,2,31,1,8.16,0,FALSE
9,6,2014-08-02,6233,558,1,0,none,0,a,c,2030,8,2000,0,0,0,None,1,2014,8,2,31,1,11.17,168,FALSE
10,6,2014-08-02,5284,526,1,0,none,1,a,a,3160,9,2009,0,0,0,None,1,2014,8,2,31,1,10.05,59,FALSE
11,6,2014-08-02,5969,838,1,0,none,0,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,7.12,33,FALSE
12,6,2014-08-02,5617,745,1,0,none,0,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2014,8,2,31,1,7.54,-1,FALSE
14,6,2014-08-02,3488,395,1,0,none,0,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,8.83,5,FALSE
15,6,2014-08-02,5124,614,1,0,none,0,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,8.35,53,FALSE
16,6,2014-08-02,5719,584,1,0,none,0,a,c,3270,0,0,0,0,0,None,0,2014,8,2,31,1,9.79,-1,FALSE
17,6,2014-08-02,2589,356,1,0,none,0,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,7.27,104,FALSE
18,6,2014-08-02,4832,541,1,0,none,0,d,c,13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,8.93,50,FALSE
19,6,2014-08-02,4310,392,1,0,none,0,a,c,3240,0,0,1,22,2011,"Mar,Jun,Sept,Dec",0,2014,8,2,31,1,10.99,-1,FALSE
21,6,2014-08-02,5484,528,1,0,none,0,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,10.39,178,FALSE
23,6,2014-08-02,4566,439,1,0,none,0,d,a,4060,8,2005,0,0,0,None,1,2014,8,2,31,1,10.4,108,FALSE
24,6,2014-08-02,6913,648,1,0,none,0,a,c,4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,10.67,173,FALSE
25,6,2014-08-02,8941,1273,1,0,none,0,c,a,430,4,2003,0,0,0,None,1,2014,8,2,31,1,7.02,136,FALSE
26,6,2014-08-02,4853,471,1,0,none,0,d,a,2300,0,0,0,0,0,None,0,2014,8,2,31,1,10.3,-1,FALSE
27,6,2014-08-02,7180,853,1,0,none,0,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,8.42,115,FALSE
28,6,2014-08-02,2707,338,1,0,none,0,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",1,2014,8,2,31,1,8.01,0,FALSE
29,6,2014-08-02,6198,555,1,0,none,0,d,c,2170,0,0,0,0,0,None,0,2014,8,2,31,1,11.17,-1,FALSE
30,6,2014-08-02,4057,646,1,0,none,0,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",1,2014,8,2,31,1,6.28,6,FALSE
31,6,2014-08-02,4998,555,1,0,none,0,d,c,9800,7,2012,0,0,0,None,1,2014,8,2,31,1,9.01,25,FALSE
33,6,2014-08-02,8745,828,1,0,none,0,a,c,1320,5,2013,0,0,0,None,1,2014,8,2,31,1,10.56,15,FALSE
34,6,2014-08-02,6956,888,1,0,none,0,c,a,2240,9,2009,0,0,0,None,1,2014,8,2,31,1,7.83,59,FALSE
35,6,2014-08-02,7897,614,1,0,none,0,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,12.86,166,FALSE
37,6,2014-08-02,6552,767,1,0,none,0,c,a,4230,12,2014,0,0,0,None,1,2014,8,2,31,1,8.54,0,FALSE
38,6,2014-08-02,5566,552,1,0,none,0,d,a,1090,4,2007,0,0,0,None,1,2014,8,2,31,1,10.08,88,FALSE
39,6,2014-08-02,3817,509,1,0,none,0,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",1,2014,8,2,31,1,7.5,94,FALSE
40,6,2014-08-02,5544,785,1,0,none,0,a,a,180,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2014,8,2,31,1,7.06,-1,FALSE
42,6,2014-08-02,8375,977,1,0,none,0,a,c,290,0,0,1,40,2011,"Jan,Apr,Jul,Oct",0,2014,8,2,31,1,8.57,-1,FALSE
43,6,2014-08-02,5281,455,1,0,none,0,d,a,4880,0,0,1,37,2009,"Jan,Apr,Jul,Oct",0,2014,8,2,31,1,11.61,-1,FALSE
44,6,2014-08-02,4117,458,1,0,none,0,a,a,540,6,2011,0,0,0,None,1,2014,8,2,31,1,8.99,38,FALSE
45,6,2014-08-02,5390,435,1,0,none,0,d,a,9710,2,2014,0,0,0,None,1,2014,8,2,31,1,12.39,6,FALSE
47,6,2014-08-02,5082,720,1,0,none,0,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,7.06,16,FALSE
48,6,2014-08-02,2375,256,1,0,none,0,a,a,1060,5,2012,0,0,0,None,1,2014,8,2,31,1,9.28,27,FALSE
49,6,2014-08-02,8022,580,1,0,none,0,d,c,18010,9,2007,0,0,0,None,1,2014,8,2,31,1,13.83,83,FALSE
50,6,2014-08-02,4617,410,1,0,none,0,d,a,6260,11,2009,0,0,0,None,1,2014,8,2,31,1,11.26,57,FALSE
1,1,2014-08-04,5655,592,1,1,none,1,c,a,1270,9,2008,0,0,0,None,1,2014,8,4,32,0,9.55,71,FALSE
2,1,2014-08-04,6315,668,1,1,none,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,9.45,81,FALSE
3,1,2014-08-04,9055,891,1,1,none,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,10.16,92,FALSE
4,1,2014-08-04,11754,1518,1,1,none,1,c,c,620,9,2009,0,0,0,None,1,2014,8,4,32,0,7.74,59,FALSE
5,1,2014-08-04,5391,614,1,1,none,1,a,a,29910,4,2015,0,0,0,None,1,2014,8,4,32,0,8.78,0,FALSE
6,1,2014-08-04,6550,702,1,1,none,1,a,a,310,12,2013,0,0,0,None,1,2014,8,4,32,0,9.33,8,FALSE
7,1,2014-08-04,15399,1492,1,1,none,1,a,c,24000,4,2013,0,0,0,None,1,2014,8,4,32,0,10.32,16,FALSE
8,1,2014-08-04,8066,820,1,1,none,1,a,a,7520,10,2014,0,0,0,None,1,2014,8,4,32,0,9.84,0,FALSE
9,1,2014-08-04,10061,777,1,1,none,1,a,c,2030,8,2000,0,0,0,None,1,2014,8,4,32,0,12.95,168,FALSE
10,1,2014-08-04,7049,685,1,1,none,1,a,a,3160,9,2009,0,0,0,None,1,2014,8,4,32,0,10.29,59,FALSE
11,1,2014-08-04,11063,1351,1,1,none,1,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,8.19,33,FALSE
12,1,2014-08-04,11281,1188,1,1,none,1,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2014,8,4,32,0,9.5,-1,FALSE
14,1,2014-08-04,7359,752,1,1,none,1,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,9.79,5,FALSE
15,1,2014-08-04,9366,820,1,1,none,1,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,11.42,53,FALSE
16,1,2014-08-04,10794,1029,1,1,none,1,a,c,3270,0,0,0,0,0,None,0,2014,8,4,32,0,10.49,-1,FALSE
17,1,2014-08-04,9851,1110,1,1,none,1,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,8.87,104,FALSE
18,1,2014-08-04,8003,810,1,1,none,1,d,c,13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,9.88,50,FALSE
19,1,2014-08-04,9623,797,1,1,none,1,a,c,3240,0,0,1,22,2011,"Mar,Jun,Sept,Dec",0,2014,8,4,32,0,12.07,-1,FALSE
21,1,2014-08-04,10377,692,1,1,none,1,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,15,178,FALSE
23,1,2014-08-04,8259,636,1,1,none,1,d,a,4060,8,2005,0,0,0,None,1,2014,8,4,32,0,12.99,108,FALSE
24,1,2014-08-04,13152,1033,1,1,none,1,a,c,4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,12.73,173,FALSE
25,1,2014-08-04,13970,1764,1,1,none,1,c,a,430,4,2003,0,0,0,None,1,2014,8,4,32,0,7.92,136,FALSE
26,1,2014-08-04,11500,842,1,1,none,1,d,a,2300,0,0,0,0,0,None,0,2014,8,4,32,0,13.66,-1,FALSE
27,1,2014-08-04,14324,1375,1,1,none,1,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,10.42,115,FALSE
28,1,2014-08-04,6602,657,1,1,none,1,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",1,2014,8,4,32,0,10.05,0,FALSE
29,1,2014-08-04,11503,926,1,1,none,1,d,c,2170,0,0,0,0,0,None,0,2014,8,4,32,0,12.42,-1,FALSE
30,1,2014-08-04,7540,942,1,1,none,1,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",1,2014,8,4,32,0,8,6,FALSE
31,1,2014-08-04,7732,657,1,1,none,1,d,c,9800,7,2012,0,0,0,None,1,2014,8,4,32,0,11.77,25,FALSE
33,1,2014-08-04,10777,922,1,1,none,1,a,c,1320,5,2013,0,0,0,None,1,2014,8,4,32,0,11.69,15,FALSE
34,1,2014-08-04,9911,1119,1,1,none,1,c,a,2240,9,2009,0,0,0,None,1,2014,8,4,32,0,8.86,59,FALSE
35,1,2014-08-04,15379,990,1,1,none,1,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,15.53,166,FALSE
37,1,2014-08-04,9732,934,1,1,none,1,c,a,4230,12,2014,0,0,0,None,1,2014,8,4,32,0,10.42,0,FALSE
38,1,2014-08-04,9946,764,1,1,none,1,d,a,1090,4,2007,0,0,0,None,1,2014,8,4,32,0,13.02,88,FALSE
39,1,2014-08-04,8164,904,1,1,none,1,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",1,2014,8,4,32,0,9.03,94,FALSE
40,1,2014-08-04,7052,841,1,1,none,1,a,a,180,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2014,8,4,32,0,8.39,-1,FALSE
42,1,2014-08-04,13557,1310,1,1,none,1,a,c,290,0,0,1,40,2011,"Jan,Apr,Jul,Oct",0,2014,8,4,32,0,10.35,-1,FALSE
43,1,2014-08-04,9828,759,1,1,none,1,d,a,4880,0,0,1,37,2009,"Jan,Apr,Jul,Oct",0,2014,8,4,32,0,12.95,-1,FALSE
44,1,2014-08-04,9485,946,1,1,none,1,a,a,540,6,2011,0,0,0,None,1,2014,8,4,32,0,10.03,38,FALSE
45,1,2014-08-04,7639,490,1,1,none,1,d,a,9710,2,2014,0,0,0,None,1,2014,8,4,32,0,15.59,6,FALSE
47,1,2014-08-04,9961,1085,1,1,none,1,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",1,2014,8,4,32,0,9.18,16,FALSE
48,1,2014-08-04,4188,413,1,1,none,1,a,a,1060,5,2012,0,0,0,None,1,2014,8,4,32,0,10.14,27,FALSE
49,1,2014-08-04,10251,673,1,1,none,1,d,c,18010,9,2007,0,0,0,None,1,2014,8,4,32,0,15.23,83,FALSE
50,1,2014-08-04,6202,456,1,1,none,1,d,a,6260,11,2009,0,0,0,None,1,2014,8,4,32,0,13.6,57,FALSE
1,2,2014-08-05,5433,620,1,1,none,1,c,a,1270,9,2008,0,0,0,None,1,2014,8,5,32,0,8.76,71,FALSE
2,2,2014-08-05,5811,621,1,1,none,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,9.36,81,FALSE
3,2,2014-08-05,8714,868,1,1,none,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,10.04,92,FALSE
4,2,2014-08-05,9990,1336,1,1,none,1,c,c,620,9,2009,0,0,0,None,1,2014,8,5,32,0,7.48,59,FALSE
5,2,2014-08-05,6108,636,1,1,none,1,a,a,29910,4,2015,0,0,0,None,1,2014,8,5,32,0,9.6,0,FALSE
6,2,2014-08-05,5611,665,1,1,none,1,a,a,310,12,2013,0,0,0,None,1,2014,8,5,32,0,8.44,8,FALSE
7,2,2014-08-05,13813,1471,1,1,none,1,a,c,24000,4,2013,0,0,0,None,1,2014,8,5,32,0,9.39,16,FALSE
8,2,2014-08-05,7054,758,1,1,none,1,a,a,7520,10,2014,0,0,0,None,1,2014,8,5,32,0,9.31,0,FALSE
9,2,2014-08-05,7438,628,1,1,none,1,a,c,2030,8,2000,0,0,0,None,1,2014,8,5,32,0,11.84,168,FALSE
10,2,2014-08-05,6201,586,1,1,none,1,a,a,3160,9,2009,0,0,0,None,1,2014,8,5,32,0,10.58,59,FALSE
11,2,2014-08-05,9243,1258,1,1,none,1,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,7.35,33,FALSE
12,2,2014-08-05,8767,940,1,1,none,1,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2014,8,5,32,0,9.33,-1,FALSE
14,2,2014-08-05,6419,673,1,1,none,1,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,9.54,5,FALSE
15,2,2014-08-05,7185,689,1,1,none,1,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,10.43,53,FALSE
16,2,2014-08-05,9071,914,1,1,none,1,a,c,3270,0,0,0,0,0,None,0,2014,8,5,32,0,9.92,-1,FALSE
17,2,2014-08-05,9139,1075,1,1,none,1,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,8.5,104,FALSE
18,2,2014-08-05,6141,646,1,1,none,1,d,c,13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,9.51,50,FALSE
19,2,2014-08-05,7497,664,1,1,none,1,a,c,3240,0,0,1,22,2011,"Mar,Jun,Sept,Dec",0,2014,8,5,32,0,11.29,-1,FALSE
21,2,2014-08-05,7691,566,1,1,none,1,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,13.59,178,FALSE
23,2,2014-08-05,7277,580,1,1,none,1,d,a,4060,8,2005,0,0,0,None,1,2014,8,5,32,0,12.55,108,FALSE
24,2,2014-08-05,10374,878,1,1,none,1,a,c,4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,11.82,173,FALSE
25,2,2014-08-05,11619,1539,1,1,none,1,c,a,430,4,2003,0,0,0,None,1,2014,8,5,32,0,7.55,136,FALSE
26,2,2014-08-05,7765,603,1,1,none,1,d,a,2300,0,0,0,0,0,None,0,2014,8,5,32,0,12.88,-1,FALSE
27,2,2014-08-05,11935,1255,1,1,none,1,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,9.51,115,FALSE
28,2,2014-08-05,7241,726,1,1,none,1,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",1,2014,8,5,32,0,9.97,0,FALSE
29,2,2014-08-05,8088,677,1,1,none,1,d,c,2170,0,0,0,0,0,None,0,2014,8,5,32,0,11.95,-1,FALSE
30,2,2014-08-05,7312,898,1,1,none,1,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",1,2014,8,5,32,0,8.14,6,FALSE
31,2,2014-08-05,6093,519,1,1,none,1,d,c,9800,7,2012,0,0,0,None,1,2014,8,5,32,0,11.74,25,FALSE
33,2,2014-08-05,9091,820,1,1,none,1,a,c,1320,5,2013,0,0,0,None,1,2014,8,5,32,0,11.09,15,FALSE
34,2,2014-08-05,9102,1089,1,1,none,1,c,a,2240,9,2009,0,0,0,None,1,2014,8,5,32,0,8.36,59,FALSE
35,2,2014-08-05,10000,702,1,1,none,1,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,14.25,166,FALSE
37,2,2014-08-05,7664,801,1,1,none,1,c,a,4230,12,2014,0,0,0,None,1,2014,8,5,32,0,9.57,0,FALSE
38,2,2014-08-05,6745,561,1,1,none,1,d,a,1090,4,2007,0,0,0,None,1,2014,8,5,32,0,12.02,88,FALSE
39,2,2014-08-05,5879,740,1,1,none,1,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",1,2014,8,5,32,0,7.94,94,FALSE
40,2,2014-08-05,7122,838,1,1,none,1,a,a,180,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2014,8,5,32,0,8.5,-1,FALSE
42,2,2014-08-05,11768,1236,1,1,none,1,a,c,290,0,0,1,40,2011,"Jan,Apr,Jul,Oct",0,2014,8,5,32,0,9.52,-1,FALSE
43,2,2014-08-05,8181,641,1,1,none,1,d,a,4880,0,0,1,37,2009,"Jan,Apr,Jul,Oct",0,2014,8,5,32,0,12.76,-1,FALSE
44,2,2014-08-05,7222,814,1,1,none,1,a,a,540,6,2011,0,0,0,None,1,2014,8,5,32,0,8.87,38,FALSE
45,2,2014-08-05,5481,414,1,1,none,1,d,a,9710,2,2014,0,0,0,None,1,2014,8,5,32,0,13.24,6,FALSE
47,2,2014-08-05,8130,966,1,1,none,1,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",1,2014,8,5,32,0,8.42,16,FALSE
48,2,2014-08-05,3547,382,1,1,none,1,a,a,1060,5,2012,0,0,0,None,1,2014,8,5,32,0,9.29,27,FALSE
49,2,2014-08-05,9302,553,1,1,none,1,d,c,18010,9,2007,0,0,0,None,1,2014,8,5,32,0,16.82,83,FALSE
50,2,2014-08-05,4846,412,1,1,none,1,d,a,6260,11,2009,0,0,0,None,1,2014,8,5,32,0,11.76,57,FALSE
1,3,2014-08-06,5337,575,1,1,none,1,c,a,1270,9,2008,0,0,0,None,1,2014,8,6,32,0,9.28,71,FALSE
2,3,2014-08-06,6331,767,1,1,none,1,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,2014,8,6,32,0,8.25,81,FALSE
3,3,2014-08-06,7499,798,1,1,none,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,8,6,32,0,9.4,92,FALSE
4,3,2014-08-06,8860,1199,1,1,none,1,c,c,620,9,2009,0,0,0,None,1,2014,8,6,32,0,7.39,59,FALSE
5,3,2014-08-06,5711,680,1,1,none,1,a,a,29910,4,2015,0,0,0,None,1,2014,8,6,32,0,8.4,0,FALSE
6,3,2014-08-06,5310,586,1,1,none,1,a,a,310,12,2013,0,0,0,None,1,2014,8,6,32,0,9.06,8,FALSE
7,3,2014-08-06,9952,1065,1,1,none,1,a,c,24000,4,2013,0,0,0,None,1,2014,8,6,32,0,9.34,16,FALSE
8,3,2014-08-06,6070,650,1,1,none,1,a,a,7520,10,2014,0,0,0,None,1,2014,8,6,32,0,9.34,0,FALSE
9,3,2014-08-06,6746,585,1,1,none,1,a,c,2030,8,2000,0,0,0,None,1,2014,8,6,32,0,11.53,168,FALSE
10,3,2014-08-06,5811,571,1,1,none,1,a,a,3160,9,2009,0,0,0,None,1,2014,8,6,32,0,10.18,59,FALSE
11,3,2014-08-06,9087,1247,1,1,none,1,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,8,6,32,0,7.29,33,FALSE
