store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,store_type,assortment,competition_distance,competition_open_since_month,competition_open_since_year,promo2,promo2since_week,promo2since_year,promo_interval,has_competition,year,month,day,week_of_year,is_weekend,sales_per_customer,competition_open_months,is_outlier
48,6,2014-08-09,1991,240,1,0,none,0,a,a,1060,5,2012,0,0,0,None,1,2014,8,9,32,1,8.3,27,FALSE
35,4,2014-09-18,9636,728,1,1,none,0,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,9,18,38,0,13.24,167,FALSE
34,2,2015-01-27,7727,962,1,1,none,0,c,a,2240,9,2009,0,0,0,None,1,2015,1,27,5,0,8.03,64,FALSE
34,1,2015-04-27,9737,1148,1,1,none,0,c,a,2240,9,2009,0,0,0,None,1,2015,4,27,18,0,8.48,67,FALSE
8,6,2014-11-22,3591,418,1,0,none,0,a,a,7520,10,2014,0,0,0,None,1,2014,11,22,47,1,8.59,1,FALSE
42,6,2014-12-20,12305,1225,1,0,none,0,a,c,290,0,0,1,40,2011,"Jan,Apr,Jul,Oct",0,2014,12,20,51,1,10.04,-1,FALSE
43,6,2014-09-06,4410,439,1,0,none,0,d,a,4880,0,0,1,37,2009,"Jan,Apr,Jul,Oct",0,2014,9,6,36,1,10.05,-1,FALSE
33,6,2015-03-21,6984,735,1,0,none,0,a,c,1320,5,2013,0,0,0,None,1,2015,3,21,12,1,9.5,22,FALSE
32,5,2015-07-10,4156,484,1,0,none,0,a,a,2910,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2015,7,10,28,0,8.59,-1,FALSE
5,3,2014-12-17,8758,799,1,1,none,0,a,a,29910,4,2015,0,0,0,None,1,2014,12,17,51,0,10.96,0,FALSE
39,4,2014-11-20,3565,476,1,0,none,0,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",1,2014,11,20,47,0,7.49,97,FALSE
15,5,2014-09-05,7360,729,1,1,none,0,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,9,5,36,0,10.1,54,FALSE
17,1,2015-03-16,10474,1137,1,1,none,0,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2015,3,16,12,0,9.21,111,FALSE
32,6,2015-04-25,2659,338,1,0,none,0,a,a,2910,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2015,4,25,17,1,7.87,-1,FALSE
47,1,2014-12-22,10870,1206,1,0,none,1,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",1,2014,12,22,52,0,9.01,20,FALSE
16,5,2014-09-26,6270,821,1,0,none,0,a,c,3270,0,0,0,0,0,None,0,2014,9,26,39,0,7.64,-1,FALSE
9,6,2015-07-25,5330,468,1,0,none,0,a,c,2030,8,2000,0,0,0,None,1,2015,7,25,30,1,11.39,179,FALSE
14,5,2015-03-20,6195,696,1,1,none,0,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",1,2015,3,20,12,0,8.9,12,FALSE
31,2,2015-07-21,4128,411,1,0,none,1,d,c,9800,7,2012,0,0,0,None,1,2015,7,21,30,0,10.04,36,FALSE
45,1,2014-08-18,6476,464,1,1,none,1,d,a,9710,2,2014,0,0,0,None,1,2014,8,18,34,0,13.96,6,FALSE
7,2,2014-11-18,8339,946,1,0,none,0,a,c,24000,4,2013,0,0,0,None,1,2014,11,18,47,0,8.82,19,FALSE
10,3,2015-02-04,6052,641,1,1,none,0,a,a,3160,9,2009,0,0,0,None,1,2015,2,4,6,0,9.44,65,FALSE
25,4,2015-01-08,9746,1521,1,1,none,0,c,a,430,4,2003,0,0,0,None,1,2015,1,8,2,0,6.41,141,FALSE
11,4,2014-09-25,5538,915,1,0,none,0,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,9,25,39,0,6.05,34,FALSE
6,4,2015-06-04,5749,614,1,1,public,0,a,a,310,12,2013,0,0,0,None,1,2015,6,4,23,0,9.36,18,FALSE
6,4,2014-10-02,6545,726,1,1,none,0,a,a,310,12,2013,0,0,0,None,1,2014,10,2,40,0,9.02,10,FALSE
38,1,2014-08-18,9754,780,1,1,none,1,d,a,1090,4,2007,0,0,0,None,1,2014,8,18,34,0,12.51,88,FALSE
17,1,2014-12-22,13241,1461,1,0,none,1,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,12,22,52,0,9.06,108,TRUE
38,4,2014-12-18,8110,644,1,1,none,0,d,a,1090,4,2007,0,0,0,None,1,2014,12,18,51,0,12.59,92,FALSE
23,6,2015-01-24,3881,371,1,0,none,0,d,a,4060,8,2005,0,0,0,None,1,2015,1,24,4,1,10.46,113,FALSE
48,5,2015-03-20,4150,427,1,1,none,0,a,a,1060,5,2012,0,0,0,None,1,2015,3,20,12,0,9.72,34,FALSE
21,5,2015-02-27,4380,430,1,0,none,0,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",1,2015,2,27,9,0,10.19,184,FALSE
37,3,2014-12-03,9103,820,1,1,none,0,c,a,4230,12,2014,0,0,0,None,1,2014,12,3,49,0,11.1,0,FALSE
24,2,2015-06-09,8702,774,1,0,none,0,a,c,4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",1,2015,6,9,24,0,11.24,183,FALSE
32,2,2015-06-02,5555,572,1,1,none,1,a,a,2910,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2015,6,2,23,0,9.71,-1,FALSE
17,6,2014-10-11,2677,382,1,0,none,0,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,10,11,41,1,7.01,106,FALSE
8,3,2014-10-22,5869,737,1,1,none,1,a,a,7520,10,2014,0,0,0,None,1,2014,10,22,43,0,7.96,0,FALSE
27,3,2015-07-15,10741,1120,1,1,none,1,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",1,2015,7,15,29,0,9.59,126,FALSE
45,5,2015-07-10,4765,393,1,0,none,0,d,a,9710,2,2014,0,0,0,None,1,2015,7,10,28,0,12.12,17,FALSE
40,3,2014-10-15,3894,603,1,0,none,1,a,a,180,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2014,10,15,42,0,6.46,-1,FALSE
26,5,2015-07-17,7535,587,1,1,none,1,d,a,2300,0,0,0,0,0,None,0,2015,7,17,29,0,12.84,-1,FALSE
38,5,2015-04-17,6728,617,1,1,none,0,d,a,1090,4,2007,0,0,0,None,1,2015,4,17,16,0,10.9,96,FALSE
14,1,2015-02-23,5190,650,1,0,none,0,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",1,2015,2,23,9,0,7.98,11,FALSE
45,5,2014-09-19,5104,399,1,1,none,0,d,a,9710,2,2014,0,0,0,None,1,2014,9,19,38,0,12.79,7,FALSE
46,2,2015-06-30,8502,800,1,1,none,0,c,a,1200,9,2005,1,14,2011,"Jan,Apr,Jul,Oct",1,2015,6,30,27,0,10.63,117,FALSE
3,5,2015-03-27,5216,625,1,0,none,0,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1,2015,3,27,13,0,8.35,99,FALSE
28,5,2014-09-12,7361,840,1,0,none,0,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",1,2014,9,12,37,0,8.76,0,FALSE
48,3,2015-05-27,3668,393,1,0,none,0,a,a,1060,5,2012,0,0,0,None,1,2015,5,27,22,0,9.33,36,FALSE
26,3,2014-12-17,10426,727,1,1,none,0,d,a,2300,0,0,0,0,0,None,0,2014,12,17,51,0,14.34,-1,FALSE
50,5,2014-09-05,4343,386,1,1,none,1,d,a,6260,11,2009,0,0,0,None,1,2014,9,5,36,0,11.25,58,FALSE
17,1,2015-07-20,5908,824,1,0,none,1,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2015,7,20,30,0,7.17,115,FALSE
9,3,2015-01-14,6748,582,1,1,none,0,a,c,2030,8,2000,0,0,0,None,1,2015,1,14,3,0,11.59,173,FALSE
42,6,2014-08-02,8375,977,1,0,none,0,a,c,290,0,0,1,40,2011,"Jan,Apr,Jul,Oct",0,2014,8,2,31,1,8.57,-1,FALSE
3,3,2015-07-29,7610,716,1,1,none,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1,2015,7,29,31,0,10.63,103,FALSE
28,1,2015-03-23,3606,456,1,0,none,0,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",1,2015,3,23,13,0,7.91,5,FALSE
6,6,2014-11-15,3460,442,1,0,none,0,a,a,310,12,2013,0,0,0,None,1,2014,11,15,46,1,7.83,11,FALSE
30,1,2015-02-09,3453,560,1,0,none,0,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",1,2015,2,9,7,0,6.17,12,FALSE
18,1,2014-12-08,7287,822,1,0,none,0,d,c,13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",1,2014,12,8,50,0,8.86,54,FALSE
43,2,2015-06-23,5903,555,1,0,none,0,d,a,4880,0,0,1,37,2009,"Jan,Apr,Jul,Oct",0,2015,6,23,26,0,10.64,-1,FALSE
2,2,2015-04-21,3291,469,1,0,none,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,2015,4,21,17,0,7.02,89,FALSE
27,2,2015-03-10,6935,920,1,0,none,0,a,a,60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",1,2015,3,10,11,0,7.54,122,FALSE
41,2,2015-03-17,5685,391,1,1,none,0,d,c,1180,0,0,1,31,2013,"Jan,Apr,Jul,Oct",0,2015,3,17,12,0,14.54,-1,FALSE
49,3,2015-05-06,7997,576,1,1,none,0,d,c,18010,9,2007,0,0,0,None,1,2015,5,6,19,0,13.88,92,FALSE
16,3,2014-10-29,7011,839,1,0,none,1,a,c,3270,0,0,0,0,0,None,0,2014,10,29,44,0,8.36,-1,FALSE
16,5,2015-07-31,10231,979,1,1,none,1,a,c,3270,0,0,0,0,0,None,0,2015,7,31,31,0,10.45,-1,FALSE
12,5,2014-08-15,6044,769,1,0,none,1,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2014,8,15,33,0,7.86,-1,FALSE
4,2,2014-09-30,12659,1486,1,1,none,0,c,c,620,9,2009,0,0,0,None,1,2014,9,30,40,0,8.52,60,FALSE
44,3,2014-10-15,4348,631,1,0,none,0,a,a,540,6,2011,0,0,0,None,1,2014,10,15,42,0,6.89,40,FALSE
25,5,2015-03-20,10868,1504,1,1,none,0,c,a,430,4,2003,0,0,0,None,1,2015,3,20,12,0,7.23,143,FALSE
38,4,2015-07-09,4707,458,1,0,none,1,d,a,1090,4,2007,0,0,0,None,1,2015,7,9,28,0,10.28,99,FALSE
44,6,2015-01-24,3528,457,1,0,none,0,a,a,540,6,2011,0,0,0,None,1,2015,1,24,4,1,7.72,43,FALSE
8,2,2015-01-13,6463,712,1,1,none,0,a,a,7520,10,2014,0,0,0,None,1,2015,1,13,3,0,9.08,3,FALSE
8,5,2014-12-19,7381,775,1,1,none,0,a,a,7520,10,2014,0,0,0,None,1,2014,12,19,51,0,9.52,2,FALSE
21,6,2014-09-13,5820,549,1,0,none,0,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",1,2014,9,13,37,1,10.6,179,FALSE
21,5,2014-08-08,5854,519,1,1,none,1,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",1,2014,8,8,32,0,11.28,178,FALSE
44,1,2015-06-08,4850,614,1,0,none,0,a,a,540,6,2011,0,0,0,None,1,2015,6,8,24,0,7.9,48,FALSE
49,3,2015-07-29,9691,609,1,1,none,0,d,c,18010,9,2007,0,0,0,None,1,2015,7,29,31,0,15.91,94,FALSE
24,1,2015-02-09,7863,760,1,0,none,0,a,c,4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",1,2015,2,9,7,0,10.35,179,FALSE
19,6,2015-03-14,4333,397,1,0,none,0,a,c,3240,0,0,1,22,2011,"Mar,Jun,Sept,Dec",0,2015,3,14,11,1,10.91,-1,FALSE
50,4,2015-07-30,5324,376,1,1,none,1,d,a,6260,11,2009,0,0,0,None,1,2015,7,30,31,0,14.16,68,FALSE
14,2,2014-08-26,4167,477,1,0,none,0,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,8,26,35,0,8.74,5,FALSE
46,1,2015-06-08,4388,568,1,0,none,0,c,a,1200,9,2005,1,14,2011,"Jan,Apr,Jul,Oct",1,2015,6,8,24,0,7.73,117,FALSE
50,5,2015-06-05,7213,524,1,1,none,0,d,a,6260,11,2009,0,0,0,None,1,2015,6,5,23,0,13.77,67,TRUE
41,4,2015-07-30,6311,455,1,1,none,0,d,c,1180,0,0,1,31,2013,"Jan,Apr,Jul,Oct",0,2015,7,30,31,0,13.87,-1,FALSE
8,5,2015-02-13,5296,652,1,0,none,0,a,a,7520,10,2014,0,0,0,None,1,2015,2,13,7,0,8.12,4,FALSE
33,3,2015-02-04,8110,756,1,1,none,0,a,c,1320,5,2013,0,0,0,None,1,2015,2,4,6,0,10.73,21,FALSE
4,4,2015-03-26,7369,1091,1,0,none,0,c,c,620,9,2009,0,0,0,None,1,2015,3,26,13,0,6.75,66,FALSE
29,4,2015-02-12,6611,620,1,0,none,0,d,c,2170,0,0,0,0,0,None,0,2015,2,12,7,0,10.66,-1,FALSE
14,2,2014-11-11,6262,703,1,1,none,0,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,11,11,46,0,8.91,8,FALSE
46,2,2015-04-07,5105,634,1,0,none,1,c,a,1200,9,2005,1,14,2011,"Jan,Apr,Jul,Oct",1,2015,4,7,15,0,8.05,115,FALSE
8,2,2015-03-10,5538,719,1,0,none,0,a,a,7520,10,2014,0,0,0,None,1,2015,3,10,11,0,7.7,5,FALSE
17,2,2014-12-09,7386,893,1,0,none,0,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,12,9,50,0,8.27,108,FALSE
2,6,2014-10-25,2542,331,1,0,none,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",1,2014,10,25,43,1,7.68,83,FALSE
18,5,2014-08-08,7171,802,1,1,none,1,d,c,13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",1,2014,8,8,32,0,8.94,50,FALSE
28,1,2014-11-24,6907,690,1,1,none,0,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",1,2014,11,24,48,0,10.01,1,FALSE
12,2,2015-02-17,9273,930,1,1,none,0,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2015,2,17,8,0,9.97,-1,FALSE
15,1,2015-01-05,9310,818,1,1,none,1,d,c,4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",1,2015,1,5,2,0,11.38,58,FALSE
35,2,2014-09-23,6540,599,1,0,none,0,d,c,7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,9,23,39,0,10.92,167,FALSE
16,6,2015-02-21,4660,504,1,0,none,0,a,c,3270,0,0,0,0,0,None,0,2015,2,21,8,1,9.25,-1,FALSE
12,3,2015-03-25,6985,896,1,0,none,0,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2015,3,25,13,0,7.8,-1,FALSE
10,4,2015-04-09,4723,532,1,0,none,1,a,a,3160,9,2009,0,0,0,None,1,2015,4,9,15,0,8.88,67,FALSE
37,1,2015-02-02,8683,891,1,1,none,1,c,a,4230,12,2014,0,0,0,None,1,2015,2,2,6,0,9.75,2,FALSE
1,4,2015-07-09,3897,480,1,0,none,0,c,a,1270,9,2008,0,0,0,None,1,2015,7,9,28,0,8.12,82,FALSE
36,6,2015-01-17,8674,895,1,0,none,0,a,c,540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",1,2015,1,17,3,1,9.69,139,FALSE
33,3,2014-12-03,9601,843,1,1,none,0,a,c,1320,5,2013,0,0,0,None,1,2014,12,3,49,0,11.39,19,FALSE
41,3,2015-03-25,4349,308,1,0,none,0,d,c,1180,0,0,1,31,2013,"Jan,Apr,Jul,Oct",0,2015,3,25,13,0,14.12,-1,FALSE
33,3,2014-08-06,7864,737,1,1,none,1,a,c,1320,5,2013,0,0,0,None,1,2014,8,6,32,0,10.67,15,FALSE
25,3,2015-06-17,12022,1492,1,1,none,0,c,a,430,4,2003,0,0,0,None,1,2015,6,17,25,0,8.06,146,FALSE
37,4,2015-04-16,7769,793,1,1,none,0,c,a,4230,12,2014,0,0,0,None,1,2015,4,16,16,0,9.8,4,FALSE
25,5,2014-10-24,9591,1406,1,1,none,0,c,a,430,4,2003,0,0,0,None,1,2014,10,24,43,0,6.82,138,FALSE
45,3,2014-09-10,3578,307,1,0,none,0,d,a,9710,2,2014,0,0,0,None,1,2014,9,10,37,0,11.65,7,FALSE
39,2,2015-05-26,4670,646,1,0,none,1,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",1,2015,5,26,22,0,7.23,103,FALSE
30,2,2014-12-02,6416,882,1,1,none,0,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",1,2014,12,2,49,0,7.27,10,FALSE
36,6,2015-04-04,11943,1231,1,0,none,0,a,c,540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",1,2015,4,4,14,1,9.7,142,FALSE
39,4,2015-06-18,4923,622,1,1,none,0,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",1,2015,6,18,25,0,7.91,104,FALSE
28,3,2014-12-10,3710,421,1,0,none,0,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",1,2014,12,10,50,0,8.81,2,FALSE
17,4,2014-10-09,7357,893,1,1,none,1,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,10,9,41,0,8.24,106,FALSE
17,6,2014-08-02,2589,356,1,0,none,0,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,8,2,31,1,7.27,104,FALSE
23,1,2014-09-22,4337,419,1,0,none,0,d,a,4060,8,2005,0,0,0,None,1,2014,9,22,39,0,10.35,109,FALSE
7,3,2015-06-17,9041,935,1,1,none,0,a,c,24000,4,2013,0,0,0,None,1,2015,6,17,25,0,9.67,26,FALSE
12,6,2014-12-27,7159,912,1,0,none,0,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2014,12,27,52,1,7.85,-1,FALSE
38,2,2014-10-07,6723,543,1,1,none,1,d,a,1090,4,2007,0,0,0,None,1,2014,10,7,41,0,12.38,90,FALSE
40,6,2014-09-27,5024,652,1,0,none,0,a,a,180,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2014,9,27,39,1,7.71,-1,FALSE
40,3,2015-05-13,3659,572,1,0,none,0,a,a,180,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2015,5,13,20,0,6.4,-1,FALSE
50,5,2015-02-20,4093,360,1,1,none,0,d,a,6260,11,2009,0,0,0,None,1,2015,2,20,8,0,11.37,63,FALSE
17,5,2014-09-05,7112,886,1,1,none,0,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,9,5,36,0,8.03,105,FALSE
10,1,2015-06-08,6428,676,1,0,none,0,a,a,3160,9,2009,0,0,0,None,1,2015,6,8,24,0,9.51,69,FALSE
42,3,2014-10-08,10599,1086,1,1,none,1,a,c,290,0,0,1,40,2011,"Jan,Apr,Jul,Oct",0,2014,10,8,41,0,9.76,-1,FALSE
49,4,2014-08-28,5481,443,1,0,none,1,d,c,18010,9,2007,0,0,0,None,1,2014,8,28,35,0,12.37,83,FALSE
25,4,2015-04-16,11610,1643,1,1,none,0,c,a,430,4,2003,0,0,0,None,1,2015,4,16,16,0,7.07,144,FALSE
48,4,2015-01-29,3944,414,1,1,none,0,a,a,1060,5,2012,0,0,0,None,1,2015,1,29,5,0,9.53,32,FALSE
38,4,2014-09-25,4123,385,1,0,none,0,d,a,1090,4,2007,0,0,0,None,1,2014,9,25,39,0,10.71,89,FALSE
8,6,2014-11-08,3274,445,1,0,none,0,a,a,7520,10,2014,0,0,0,None,1,2014,11,8,45,1,7.36,1,FALSE
25,3,2014-11-05,12259,1697,1,1,none,0,c,a,430,4,2003,0,0,0,None,1,2014,11,5,45,0,7.22,139,FALSE
34,6,2014-10-11,7690,968,1,0,none,0,c,a,2240,9,2009,0,0,0,None,1,2014,10,11,41,1,7.94,61,FALSE
23,3,2014-12-24,4332,421,1,0,none,1,d,a,4060,8,2005,0,0,0,None,1,2014,12,24,52,0,10.29,112,FALSE
25,4,2015-04-02,15696,2060,1,1,none,1,c,a,430,4,2003,0,0,0,None,1,2015,4,2,14,0,7.62,144,FALSE
30,5,2015-03-06,4527,636,1,1,none,0,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",1,2015,3,6,10,0,7.12,13,FALSE
40,6,2015-05-23,4760,657,1,0,none,0,a,a,180,0,0,1,45,2009,"Feb,May,Aug,Nov",0,2015,5,23,21,1,7.25,-1,FALSE
48,5,2015-07-03,3672,371,1,1,none,0,a,a,1060,5,2012,0,0,0,None,1,2015,7,3,27,0,9.9,38,FALSE
14,2,2014-10-28,4548,598,1,0,none,0,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",1,2014,10,28,44,0,7.61,7,FALSE
16,2,2015-02-03,10357,1050,1,1,none,0,a,c,3270,0,0,0,0,0,None,0,2015,2,3,6,0,9.86,-1,FALSE
20,4,2015-04-16,10360,1134,1,1,none,0,d,a,2340,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",1,2015,4,16,16,0,9.14,71,FALSE
7,5,2015-07-17,10339,1086,1,1,none,0,a,c,24000,4,2013,0,0,0,None,1,2015,7,17,29,0,9.52,27,FALSE
3,2,2014-10-28,4745,636,1,0,none,0,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",1,2014,10,28,44,0,7.46,94,FALSE
11,2,2015-05-26,7190,1073,1,0,none,0,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2015,5,26,22,0,6.7,42,FALSE
34,5,2015-01-02,7978,1053,1,0,none,1,c,a,2240,9,2009,0,0,0,None,1,2015,1,2,1,0,7.58,64,FALSE
4,3,2015-06-03,10621,1341,1,1,none,0,c,c,620,9,2009,0,0,0,None,1,2015,6,3,23,0,7.92,69,FALSE
42,3,2014-09-10,8413,1058,1,0,none,0,a,c,290,0,0,1,40,2011,"Jan,Apr,Jul,Oct",0,2014,9,10,37,0,7.95,-1,FALSE
36,3,2015-06-10,7786,940,1,0,none,0,a,c,540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",1,2015,6,10,24,0,8.28,144,FALSE
30,5,2015-01-09,3934,543,1,1,none,0,a,a,40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",1,2015,1,9,2,0,7.24,11,FALSE
44,5,2015-01-09,5200,574,1,1,none,0,a,a,540,6,2011,0,0,0,None,1,2015,1,9,2,0,9.06,43,FALSE
16,3,2015-04-08,7436,870,1,0,none,1,a,c,3270,0,0,0,0,0,None,0,2015,4,8,15,0,8.55,-1,FALSE
12,5,2015-05-08,8896,980,1,1,none,0,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2015,5,8,19,0,9.08,-1,FALSE
39,6,2015-06-13,2092,327,1,0,none,0,a,a,260,10,2006,1,31,2013,"Feb,May,Aug,Nov",1,2015,6,13,24,1,6.4,104,FALSE
45,3,2015-02-04,4944,364,1,1,none,0,d,a,9710,2,2014,0,0,0,None,1,2015,2,4,6,0,13.58,12,FALSE
17,1,2014-12-29,7067,953,1,0,none,1,a,a,50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",1,2014,12,29,1,0,7.42,108,FALSE
22,1,2015-07-06,3681,448,1,0,none,0,a,a,1040,0,0,1,22,2012,"Jan,Apr,Jul,Oct",0,2015,7,6,28,0,8.22,-1,FALSE
11,4,2015-02-19,7609,1091,1,1,none,0,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2015,2,19,8,0,6.97,39,FALSE
49,6,2014-09-13,7948,606,1,0,none,0,d,c,18010,9,2007,0,0,0,None,1,2014,9,13,37,1,13.12,84,FALSE
4,6,2014-11-15,11185,1512,1,0,none,0,c,c,620,9,2009,0,0,0,None,1,2014,11,15,46,1,7.4,62,FALSE
11,6,2014-09-13,5645,831,1,0,none,0,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",1,2014,9,13,37,1,6.79,34,FALSE
12,2,2015-07-28,8822,861,1,1,none,1,a,c,1070,0,0,1,13,2010,"Jan,Apr,Jul,Oct",0,2015,7,28,31,0,10.25,-1,FALSE
36,5,2015-07-17,9388,1015,1,1,none,0,a,c,540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",1,2015,7,17,29,0,9.25,145,FALSE
34,4,2015-05-28,7177,914,1,0,none,0,c,a,2240,9,2009,0,0,0,None,1,2015,5,28,22,0,7.85,68,FALSE
43,1,2014-12-01,9834,812,1,1,none,0,d,a,4880,0,0,1,37,2009,"Jan,Apr,Jul,Oct",0,2014,12,1,49,0,12.11,-1,FALSE
44,1,2015-03-16,8557,891,1,1,none,0,a,a,540,6,2011,0,0,0,None,1,2015,3,16,12,0,9.6,45,FALSE
25,6,2015-04-25,8022,1148,1,0,none,0,c,a,430,4,2003,0,0,0,None,1,2015,4,25,17,1,6.99,144,FALSE
4,4,2014-08-28,9205,1366,1,0,none,0,c,c,620,9,2009,0,0,0,None,1,2014,8,28,35,0,6.74,59,FALSE
47,4,2015-03-12,6526,840,1,0,none,1,a,c,270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",1,2015,3,12,11,0,7.77,23,FALSE
